,Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
1810,2011.03,Central bank,211,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
1811,2011.03,Central bank,211,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,345
1812,2011.03,Central bank,211,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,90
1813,2011.03,Central bank,211,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,37
1814,2011.03,Central bank,211,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,16
1815,2011.03,Central bank,211,Closing balance net worth,LE00000,B900000,0
1816,2011.03,Central bank,211,Closing balance total liabilities and net worth,LE00000,L000000,26235
1817,2011.03,Registered banks,221,Closing balance total assets,LE00000,A000000,385723
1818,2011.03,Registered banks,221,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,378647
1819,2011.03,Registered banks,221,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
1820,2011.03,Registered banks,221,Financial assets Closing balance currency and deposits,LE00000,AFA0200,8157
1821,2011.03,Registered banks,221,Financial assets Closing balance debt securities,LE00000,AFA0300,33259
1822,2011.03,Registered banks,221,Financial assets Closing balance loans,LE00000,AFA0400,307777
1823,2011.03,Registered banks,221,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,517
1824,2011.03,Registered banks,221,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
1825,2011.03,Registered banks,221,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,25499
1826,2011.03,Registered banks,221,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3438
1827,2011.03,Registered banks,221,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,392245
1828,2011.03,Registered banks,221,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
1829,2011.03,Registered banks,221,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,207116
1830,2011.03,Registered banks,221,Financial liabilities Closing balance debt securities,LE00000,AFL0300,97377
1831,2011.03,Registered banks,221,Financial liabilities Closing balance loans,LE00000,AFL0400,39856
1832,2011.03,Registered banks,221,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,22454
1833,2011.03,Registered banks,221,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
1834,2011.03,Registered banks,221,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,24710
1835,2011.03,Registered banks,221,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,732
1836,2011.03,Registered banks,221,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,2041
1837,2011.03,Registered banks,221,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,5036
1838,2011.03,Registered banks,221,Closing balance net worth,LE00000,B900000,-6522
1839,2011.03,Registered banks,221,Closing balance total liabilities and net worth,LE00000,L000000,385723
1840,2011.03,Other depository institutions,222,Closing balance total assets,LE00000,A000000,9388
1841,2011.03,Other depository institutions,222,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,9150
1842,2011.03,Other depository institutions,222,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
1843,2011.03,Other depository institutions,222,Financial assets Closing balance currency and deposits,LE00000,AFA0200,13
1844,2011.03,Other depository institutions,222,Financial assets Closing balance debt securities,LE00000,AFA0300,3
1845,2011.03,Other depository institutions,222,Financial assets Closing balance loans,LE00000,AFA0400,9134
1846,2011.03,Other depository institutions,222,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,..
1847,2011.03,Other depository institutions,222,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
1848,2011.03,Other depository institutions,222,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,..
1849,2011.03,Other depository institutions,222,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,..
1850,2011.03,Other depository institutions,222,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,9388
1851,2011.03,Other depository institutions,222,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
1852,2011.03,Other depository institutions,222,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,9443
1853,2011.03,Other depository institutions,222,Financial liabilities Closing balance debt securities,LE00000,AFL0300,..
1854,2011.03,Other depository institutions,222,Financial liabilities Closing balance loans,LE00000,AFL0400,..
1855,2011.03,Other depository institutions,222,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,-56
1856,2011.03,Other depository institutions,222,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
1857,2011.03,Other depository institutions,222,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
1858,2011.03,Other depository institutions,222,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
1859,2011.03,Other depository institutions,222,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,224
1860,2011.03,Other depository institutions,222,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,14
1861,2011.03,Other depository institutions,222,Closing balance net worth,LE00000,B900000,0
1862,2011.03,Other depository institutions,222,Closing balance total liabilities and net worth,LE00000,L000000,9388
1863,2011.03,Investment funds,231,Closing balance total assets,LE00000,A000000,44474
1864,2011.03,Investment funds,231,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,44335
1865,2011.03,Investment funds,231,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
1866,2011.03,Investment funds,231,Financial assets Closing balance currency and deposits,LE00000,AFA0200,10242
1867,2011.03,Investment funds,231,Financial assets Closing balance debt securities,LE00000,AFA0300,14381
1868,2011.03,Investment funds,231,Financial assets Closing balance loans,LE00000,AFA0400,0
1869,2011.03,Investment funds,231,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,19361
1870,2011.03,Investment funds,231,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
1871,2011.03,Investment funds,231,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,0
1872,2011.03,Investment funds,231,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,351
1873,2011.03,Investment funds,231,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,44474
1874,2011.03,Investment funds,231,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
1875,2011.03,Investment funds,231,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
1876,2011.03,Investment funds,231,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
1877,2011.03,Investment funds,231,Financial liabilities Closing balance loans,LE00000,AFL0400,0
1878,2011.03,Investment funds,231,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,44474
1879,2011.03,Investment funds,231,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
1880,2011.03,Investment funds,231,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
1881,2011.03,Investment funds,231,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
1882,2011.03,Investment funds,231,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,139
1883,2011.03,Investment funds,231,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,0
1884,2011.03,Investment funds,231,Closing balance net worth,LE00000,B900000,0
1885,2011.03,Investment funds,231,Closing balance total liabilities and net worth,LE00000,L000000,44474
1886,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance total assets,LE00000,A000000,78980
1887,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,78208
1888,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
1889,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance currency and deposits,LE00000,AFA0200,1737
1890,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance debt securities,LE00000,AFA0300,57044
1891,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance loans,LE00000,AFA0400,12813
1892,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,2470
1893,2011.03,Other financial intermediaries excluding insurance and pension funds,241,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
1894,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,227
1895,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3917
1896,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,75551
1897,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
1898,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
1899,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance debt securities,LE00000,AFL0300,57424
1900,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance loans,LE00000,AFL0400,19621
1901,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,-2263
1902,2011.03,Other financial intermediaries excluding insurance and pension funds,241,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
1903,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,230
1904,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,540
1905,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,745
1906,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,27
1907,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance net worth,LE00000,B900000,3429
1908,2011.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance total liabilities and net worth,LE00000,L000000,78980
1909,2011.03,Insurance corporations,251,Closing balance total assets,LE00000,A000000,42773
1910,2011.03,Insurance corporations,251,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,41457
1911,2011.03,Insurance corporations,251,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
1912,2011.03,Insurance corporations,251,Financial assets Closing balance currency and deposits,LE00000,AFA0200,C
1913,2011.03,Insurance corporations,251,Financial assets Closing balance debt securities,LE00000,AFA0300,C
1914,2011.03,Insurance corporations,251,Financial assets Closing balance loans,LE00000,AFA0400,C
1915,2011.03,Insurance corporations,251,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,4411
1916,2011.03,Insurance corporations,251,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,18180
1917,2011.03,Insurance corporations,251,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,501
1918,2011.03,Insurance corporations,251,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,6162
1919,2011.03,Insurance corporations,251,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,43058
1920,2011.03,Insurance corporations,251,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
1921,2011.03,Insurance corporations,251,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
1922,2011.03,Insurance corporations,251,Financial liabilities Closing balance debt securities,LE00000,AFL0300,C
1923,2011.03,Insurance corporations,251,Financial liabilities Closing balance loans,LE00000,AFL0400,C
1924,2011.03,Insurance corporations,251,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,12565
1925,2011.03,Insurance corporations,251,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,27319
1926,2011.03,Insurance corporations,251,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,46
1927,2011.03,Insurance corporations,251,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,638
1928,2011.03,Insurance corporations,251,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,952
1929,2011.03,Insurance corporations,251,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,364
1930,2011.03,Insurance corporations,251,Closing balance net worth,LE00000,B900000,-285
1931,2011.03,Insurance corporations,251,Closing balance total liabilities and net worth,LE00000,L000000,42773
1932,2011.03,Pension funds,261,Closing balance total assets,LE00000,A000000,39559
1933,2011.03,Pension funds,261,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,39459
1934,2011.03,Pension funds,261,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
1935,2011.03,Pension funds,261,Financial assets Closing balance currency and deposits,LE00000,AFA0200,1069
1936,2011.03,Pension funds,261,Financial assets Closing balance debt securities,LE00000,AFA0300,2267
1937,2011.03,Pension funds,261,Financial assets Closing balance loans,LE00000,AFA0400,0
1938,2011.03,Pension funds,261,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,25676
1939,2011.03,Pension funds,261,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,10447
1940,2011.03,Pension funds,261,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,0
1941,2011.03,Pension funds,261,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,0
1942,2011.03,Pension funds,261,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,39559
1943,2011.03,Pension funds,261,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
1944,2011.03,Pension funds,261,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
1945,2011.03,Pension funds,261,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
1946,2011.03,Pension funds,261,Financial liabilities Closing balance loans,LE00000,AFL0400,0
1947,2011.03,Pension funds,261,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
1948,2011.03,Pension funds,261,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,39559
1949,2011.03,Pension funds,261,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
1950,2011.03,Pension funds,261,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
1951,2011.03,Pension funds,261,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,58
1952,2011.03,Pension funds,261,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,42
1953,2011.03,Pension funds,261,Closing balance net worth,LE00000,B900000,0
1954,2011.03,Pension funds,261,Closing balance total liabilities and net worth,LE00000,L000000,39559
1955,2011.03,Financial auxiliaries,270,Closing balance total assets,LE00000,A000000,7134
1956,2011.03,Financial auxiliaries,270,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,5667
1957,2011.03,Financial auxiliaries,270,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
1958,2011.03,Financial auxiliaries,270,Financial assets Closing balance currency and deposits,LE00000,AFA0200,C
1959,2011.03,Financial auxiliaries,270,Financial assets Closing balance debt securities,LE00000,AFA0300,C
1960,2011.03,Financial auxiliaries,270,Financial assets Closing balance loans,LE00000,AFA0400,C
1961,2011.03,Financial auxiliaries,270,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,1213
1962,2011.03,Financial auxiliaries,270,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
1963,2011.03,Financial auxiliaries,270,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,..
1964,2011.03,Financial auxiliaries,270,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,1355
1965,2011.03,Financial auxiliaries,270,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,7134
1966,2011.03,Financial auxiliaries,270,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
1967,2011.03,Financial auxiliaries,270,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
1968,2011.03,Financial auxiliaries,270,Financial liabilities Closing balance debt securities,LE00000,AFL0300,C
1969,2011.03,Financial auxiliaries,270,Financial liabilities Closing balance loans,LE00000,AFL0400,C
1970,2011.03,Financial auxiliaries,270,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,4198
1971,2011.03,Financial auxiliaries,270,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
1972,2011.03,Financial auxiliaries,270,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
1973,2011.03,Financial auxiliaries,270,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,1087
1974,2011.03,Financial auxiliaries,270,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,1127
1975,2011.03,Financial auxiliaries,270,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,340
1976,2011.03,Financial auxiliaries,270,Closing balance net worth,LE00000,B900000,0
1977,2011.03,Financial auxiliaries,270,Closing balance total liabilities and net worth,LE00000,L000000,7134
1978,2011.03,Captive financial institutions,281,Closing balance total assets,LE00000,A000000,302859
1979,2011.03,Captive financial institutions,281,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,297627
1980,2011.03,Captive financial institutions,281,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
1981,2011.03,Captive financial institutions,281,Financial assets Closing balance currency and deposits,LE00000,AFA0200,11739
1982,2011.03,Captive financial institutions,281,Financial assets Closing balance debt securities,LE00000,AFA0300,19648
1983,2011.03,Captive financial institutions,281,Financial assets Closing balance loans,LE00000,AFA0400,127399
1984,2011.03,Captive financial institutions,281,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,108535
1985,2011.03,Captive financial institutions,281,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
1986,2011.03,Captive financial institutions,281,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,189
1987,2011.03,Captive financial institutions,281,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,30116
1988,2011.03,Captive financial institutions,281,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,306204
1989,2011.03,Captive financial institutions,281,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
1990,2011.03,Captive financial institutions,281,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
1991,2011.03,Captive financial institutions,281,Financial liabilities Closing balance debt securities,LE00000,AFL0300,31544
1992,2011.03,Captive financial institutions,281,Financial liabilities Closing balance loans,LE00000,AFL0400,113463
1993,2011.03,Captive financial institutions,281,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,136205
1994,2011.03,Captive financial institutions,281,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
1995,2011.03,Captive financial institutions,281,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,165
1996,2011.03,Captive financial institutions,281,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,24827
1997,2011.03,Captive financial institutions,281,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,1192
1998,2011.03,Captive financial institutions,281,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,4040
1999,2011.03,Captive financial institutions,281,Closing balance net worth,LE00000,B900000,-3345
2000,2011.03,Captive financial institutions,281,Closing balance total liabilities and net worth,LE00000,L000000,302859
2001,2011.03,Central government institutions excluding funded social insurance schemes,311,Closing balance total assets,LE00000,A000000,205515
2002,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,117687
2003,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,1778
2004,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance currency and deposits,LE00000,AFA0200,20127
2005,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance debt securities,LE00000,AFA0300,9812
2006,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance loans,LE00000,AFA0400,18041
2007,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,51813
2008,2011.03,Central government institutions excluding funded social insurance schemes,311,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
2009,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,2346
2010,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,13770
2011,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,94772
2012,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,1776
2013,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2014,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance debt securities,LE00000,AFL0300,62549
2015,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance loans,LE00000,AFL0400,6843
2016,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2017,2011.03,Central government institutions excluding funded social insurance schemes,311,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,10465
2018,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,715
2019,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,12425
2020,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,64709
2021,2011.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,23119
2022,2011.03,Central government institutions excluding funded social insurance schemes,311,Closing balance net worth,LE00000,B900000,110743
2023,2011.03,Central government institutions excluding funded social insurance schemes,311,Closing balance total liabilities and net worth,LE00000,L000000,205515
2024,2011.03,Central government institutions funded social insurance schemes,312,Closing balance total assets,LE00000,A000000,27222
2025,2011.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,27208
2026,2011.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2027,2011.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance currency and deposits,LE00000,AFA0200,1002
2028,2011.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance debt securities,LE00000,AFA0300,14424
2029,2011.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance loans,LE00000,AFA0400,0
2030,2011.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,7260
2031,2011.03,Central government institutions funded social insurance schemes,312,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,3200
2032,2011.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,183
2033,2011.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,1140
2034,2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,6637
2035,2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2036,2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2037,2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2038,2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance loans,LE00000,AFL0400,0
2039,2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2040,2011.03,Central government institutions funded social insurance schemes,312,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,5422
2041,2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,17
2042,2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,1197
2043,2011.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,0
2044,2011.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,14
2045,2011.03,Central government institutions funded social insurance schemes,312,Closing balance net worth,LE00000,B900000,20585
2046,2011.03,Central government institutions funded social insurance schemes,312,Closing balance total liabilities and net worth,LE00000,L000000,27222
2047,2011.03,Local government institutions,321,Closing balance total assets,LE00000,A000000,78737
2048,2011.03,Local government institutions,321,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,12952
2049,2011.03,Local government institutions,321,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2050,2011.03,Local government institutions,321,Financial assets Closing balance currency and deposits,LE00000,AFA0200,787
2051,2011.03,Local government institutions,321,Financial assets Closing balance debt securities,LE00000,AFA0300,878
2052,2011.03,Local government institutions,321,Financial assets Closing balance loans,LE00000,AFA0400,1298
2053,2011.03,Local government institutions,321,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,8562
2054,2011.03,Local government institutions,321,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,0
2055,2011.03,Local government institutions,321,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,121
2056,2011.03,Local government institutions,321,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,1305
2057,2011.03,Local government institutions,321,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,10270
2058,2011.03,Local government institutions,321,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2059,2011.03,Local government institutions,321,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2060,2011.03,Local government institutions,321,Financial liabilities Closing balance debt securities,LE00000,AFL0300,3354
2061,2011.03,Local government institutions,321,Financial liabilities Closing balance loans,LE00000,AFL0400,4192
2062,2011.03,Local government institutions,321,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2063,2011.03,Local government institutions,321,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2064,2011.03,Local government institutions,321,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,244
2065,2011.03,Local government institutions,321,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,2480
2066,2011.03,Local government institutions,321,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,37995
2067,2011.03,Local government institutions,321,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,27791
2068,2011.03,Local government institutions,321,Closing balance net worth,LE00000,B900000,68467
2069,2011.03,Local government institutions,321,Closing balance total liabilities and net worth,LE00000,L000000,78737
2070,2011.03,Non-profit institutions serving households,400,Closing balance total assets,LE00000,A000000,26863
2071,2011.03,Non-profit institutions serving households,400,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,11432
2072,2011.03,Non-profit institutions serving households,400,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
