,Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
53,2007.03,Central bank,211,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,0
54,2007.03,Central bank,211,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,395
55,2007.03,Central bank,211,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,39
56,2007.03,Central bank,211,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,20719
57,2007.03,Central bank,211,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
58,2007.03,Central bank,211,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,13531
59,2007.03,Central bank,211,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
60,2007.03,Central bank,211,Financial liabilities Closing balance loans,LE00000,AFL0400,5182
61,2007.03,Central bank,211,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,1609
62,2007.03,Central bank,211,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
63,2007.03,Central bank,211,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,0
64,2007.03,Central bank,211,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,397
65,2007.03,Central bank,211,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,42
66,2007.03,Central bank,211,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,14
67,2007.03,Central bank,211,Closing balance net worth,LE00000,B900000,0
68,2007.03,Central bank,211,Closing balance total liabilities and net worth,LE00000,L000000,20719
69,2007.03,Registered banks,221,Closing balance total assets,LE00000,A000000,300264
70,2007.03,Registered banks,221,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,293582
71,2007.03,Registered banks,221,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
72,2007.03,Registered banks,221,Financial assets Closing balance currency and deposits,LE00000,AFA0200,11993
73,2007.03,Registered banks,221,Financial assets Closing balance debt securities,LE00000,AFA0300,16493
74,2007.03,Registered banks,221,Financial assets Closing balance loans,LE00000,AFA0400,253893
75,2007.03,Registered banks,221,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,378
76,2007.03,Registered banks,221,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
77,2007.03,Registered banks,221,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,8104
78,2007.03,Registered banks,221,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,2721
79,2007.03,Registered banks,221,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,318750
80,2007.03,Registered banks,221,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
81,2007.03,Registered banks,221,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,161122
82,2007.03,Registered banks,221,Financial liabilities Closing balance debt securities,LE00000,AFL0300,86031
83,2007.03,Registered banks,221,Financial liabilities Closing balance loans,LE00000,AFL0400,29196
84,2007.03,Registered banks,221,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,30897
85,2007.03,Registered banks,221,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
86,2007.03,Registered banks,221,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,8845
87,2007.03,Registered banks,221,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,2659
88,2007.03,Registered banks,221,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,2082
89,2007.03,Registered banks,221,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,4600
90,2007.03,Registered banks,221,Closing balance net worth,LE00000,B900000,-18486
91,2007.03,Registered banks,221,Closing balance total liabilities and net worth,LE00000,L000000,300264
92,2007.03,Other depository institutions,222,Closing balance total assets,LE00000,A000000,16502
93,2007.03,Other depository institutions,222,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,16308
94,2007.03,Other depository institutions,222,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
95,2007.03,Other depository institutions,222,Financial assets Closing balance currency and deposits,LE00000,AFA0200,..
96,2007.03,Other depository institutions,222,Financial assets Closing balance debt securities,LE00000,AFA0300,10
97,2007.03,Other depository institutions,222,Financial assets Closing balance loans,LE00000,AFA0400,16298
98,2007.03,Other depository institutions,222,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,..
99,2007.03,Other depository institutions,222,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
100,2007.03,Other depository institutions,222,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,..
101,2007.03,Other depository institutions,222,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,..
102,2007.03,Other depository institutions,222,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,16502
103,2007.03,Other depository institutions,222,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
104,2007.03,Other depository institutions,222,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,14569
105,2007.03,Other depository institutions,222,Financial liabilities Closing balance debt securities,LE00000,AFL0300,..
106,2007.03,Other depository institutions,222,Financial liabilities Closing balance loans,LE00000,AFL0400,..
107,2007.03,Other depository institutions,222,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,1933
108,2007.03,Other depository institutions,222,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
109,2007.03,Other depository institutions,222,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
110,2007.03,Other depository institutions,222,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
111,2007.03,Other depository institutions,222,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,181
112,2007.03,Other depository institutions,222,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,13
113,2007.03,Other depository institutions,222,Closing balance net worth,LE00000,B900000,0
114,2007.03,Other depository institutions,222,Closing balance total liabilities and net worth,LE00000,L000000,16502
115,2007.03,Investment funds,231,Closing balance total assets,LE00000,A000000,40185
116,2007.03,Investment funds,231,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,40041
117,2007.03,Investment funds,231,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
118,2007.03,Investment funds,231,Financial assets Closing balance currency and deposits,LE00000,AFA0200,9146
119,2007.03,Investment funds,231,Financial assets Closing balance debt securities,LE00000,AFA0300,12842
120,2007.03,Investment funds,231,Financial assets Closing balance loans,LE00000,AFA0400,0
121,2007.03,Investment funds,231,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,17740
122,2007.03,Investment funds,231,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
123,2007.03,Investment funds,231,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,0
124,2007.03,Investment funds,231,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,313
125,2007.03,Investment funds,231,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,40185
126,2007.03,Investment funds,231,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
127,2007.03,Investment funds,231,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
128,2007.03,Investment funds,231,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
129,2007.03,Investment funds,231,Financial liabilities Closing balance loans,LE00000,AFL0400,0
130,2007.03,Investment funds,231,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,40185
131,2007.03,Investment funds,231,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
132,2007.03,Investment funds,231,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
133,2007.03,Investment funds,231,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
134,2007.03,Investment funds,231,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,144
135,2007.03,Investment funds,231,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,0
136,2007.03,Investment funds,231,Closing balance net worth,LE00000,B900000,0
137,2007.03,Investment funds,231,Closing balance total liabilities and net worth,LE00000,L000000,40185
138,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance total assets,LE00000,A000000,83629
139,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,82880
140,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
141,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance currency and deposits,LE00000,AFA0200,1314
142,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance debt securities,LE00000,AFA0300,42957
